scope,name,path,lines,decision
repo,animate,/Users/alexjordan/Documents/Developer/agent-setup/skills/animate/SKILL.md,26,reduced
repo,animate-expo,/Users/alexjordan/Documents/Developer/agent-setup/skills/animate-expo/SKILL.md,23,reduced
archive,animation-vocabulary,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/animation-vocabulary/SKILL.md,173,archived_2026-09-10
archive,apple-design,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/apple-design/SKILL.md,282,archived_2026-09-10
archive,ask-sonner,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/ask-sonner/SKILL.md,80,archived_2026-09-10
repo,chrome-cdp,/Users/alexjordan/Documents/Developer/agent-setup/skills/chrome-cdp/SKILL.md,77,kept
archive,clean-code,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/clean-code/SKILL.md,201,archived_2026-09-10
repo,code-review,/Users/alexjordan/Documents/Developer/agent-setup/skills/code-review/SKILL.md,22,reduced
archive,code-structure,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/code-structure/SKILL.md,116,archived_2026-09-10
repo,codex-orchestrator,/Users/alexjordan/Documents/Developer/agent-setup/skills/codex-orchestrator/SKILL.md,16,reduced
archive,context7-auto-research,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/context7-auto-research/SKILL.md,36,archived_2026-09-10
repo,diagnosing-bugs,/Users/alexjordan/Documents/Developer/agent-setup/skills/diagnosing-bugs/SKILL.md,14,reduced
archive,eli5,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/eli5/SKILL.md,10,archived_2026-09-10
archive,emil-design-eng,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/emil-design-eng/SKILL.md,679,archived_2026-09-10
archive,explain-diff,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/explain-diff/SKILL.md,84,archived_2026-09-10
archive,find-animation-opportunities,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/find-animation-opportunities/SKILL.md,132,archived_2026-09-10
archive,find-skills,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/find-skills/SKILL.md,142,archived_2026-09-10
archive,format-and-commit,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/format-and-commit/SKILL.md,58,archived_2026-09-10
archive,grill-me,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/grill-me/SKILL.md,7,archived_2026-09-10
repo,grilling,/Users/alexjordan/Documents/Developer/agent-setup/skills/grilling/SKILL.md,12,kept
repo,handoff,/Users/alexjordan/Documents/Developer/agent-setup/skills/handoff/SKILL.md,16,kept
archive,implement,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/implement/SKILL.md,15,archived_2026-09-10
archive,implement-spec,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/implement-spec/SKILL.md,37,archived_2026-09-10
archive,improve-animations,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/improve-animations/SKILL.md,103,archived_2026-09-10
archive,improve-codebase-architecture,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/improve-codebase-architecture/SKILL.md,72,archived_2026-09-10
repo,install-anti-slop,/Users/alexjordan/Documents/Developer/agent-setup/skills/install-anti-slop/SKILL.md,91,kept
repo,no-ai-slop,/Users/alexjordan/Documents/Developer/agent-setup/skills/no-ai-slop/SKILL.md,20,reduced
repo,omniroute-contribution,/Users/alexjordan/Documents/Developer/agent-setup/skills/omniroute-contribution/SKILL.md,102,kept
archive,performance-profiling,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/performance-profiling/SKILL.md,143,archived_2026-09-10
archive,pick-ui-library,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/pick-ui-library/SKILL.md,77,archived_2026-09-10
archive,pr-ready,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/pr-ready/SKILL.md,40,archived_2026-09-10
repo,prototype,/Users/alexjordan/Documents/Developer/agent-setup/skills/prototype/SKILL.md,31,kept
archive,react-doctor,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/react-doctor/SKILL.md,19,archived_2026-09-10
archive,research,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/research/SKILL.md,12,archived_2026-09-10
archive,resolving-merge-conflicts,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/resolving-merge-conflicts/SKILL.md,14,archived_2026-09-10
archive,review-animations,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/review-animations/SKILL.md,112,archived_2026-09-10
archive,simplify,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/simplify/SKILL.md,54,archived_2026-09-10
repo,tdd,/Users/alexjordan/Documents/Developer/agent-setup/skills/tdd/SKILL.md,17,reduced
archive,teach,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/teach/SKILL.md,140,archived_2026-09-10
repo,to-spec,/Users/alexjordan/Documents/Developer/agent-setup/skills/to-spec/SKILL.md,20,reduced
repo,to-tickets,/Users/alexjordan/Documents/Developer/agent-setup/skills/to-tickets/SKILL.md,22,reduced
repo,triage,/Users/alexjordan/Documents/Developer/agent-setup/skills/triage/SKILL.md,18,reduced
archive,typescript-expert,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/typescript-expert/SKILL.md,429,archived_2026-09-10
archive,verification-before-completion,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/verification-before-completion/SKILL.md,139,archived_2026-09-10
archive,wayfinder,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/wayfinder/SKILL.md,127,archived_2026-09-10
archive,writing-great-skills,/Users/alexjordan/Documents/Developer/agent-setup/archive/2026-09-10/writing-great-skills/SKILL.md,82,archived_2026-09-10
archive,animation-vocabulary,/Users/alexjordan/Documents/Developer/agent-setup/archive/animation-vocabulary/SKILL.md,173,leave_archived
archive,brandkit,/Users/alexjordan/Documents/Developer/agent-setup/archive/brandkit/SKILL.md,798,leave_archived
archive,canvas-design,/Users/alexjordan/Documents/Developer/agent-setup/archive/canvas-design/SKILL.md,130,leave_archived
